x,LES,CWBL
1.0,1.0,1.0
2.0,0.981103,1.0
3.0,0.980687,1.0
4.0,0.886688,0.91488
5.0,0.782395,0.817312
6.0,0.769103,0.801185
7.0,0.754934,0.811463
8.0,0.710734,0.757442
9.0,0.699159,0.727879
10.0,0.709884,0.722878
