x,LES,CWBL
1,1,1
2,0.669366,0.583341
3,0.652367,0.602493
4,0.640584,0.626447
5,0.620979,0.619351
6,0.629615,0.625221
7,0.610008,0.625534
8,0.6395,0.62265
9,0.63119,0.623356
10,0.634613,0.622877
